question,answer
How do I reset my password?,Visit the IT portal and select Forgot Password.
Where is the registrar office?,The registrar office is located in Building A room 210.
How do I pay tuition?,Tuition can be paid online through the finance portal.
How do I contact technical support?,Email support@university.edu.
What are the library hours?,The library is open from 8 AM to 10 PM.
How do I register for courses?,Log into the student portal and open course registration.
How can I apply for scholarships?,Visit the scholarships section on the university website.
How do I get a Student ID?,Visit the Card Services office with a valid photo ID.
How do I drop a course?,Log into the student portal and navigate to the course dropping tab before the deadline.
How do I get good grades?,"Study consistently, complete all assignments, attend lectures, and review past exams."
Where can I find restaurants near campus?,Head outside and explore Saint-Catherine Street for many dining options.
How can I get fit or access a gym?,"Visit Concordia's gym, LeGYM, located on campus."
How do I appeal a grade?,Submit a formal grade appeal form through the registrar's office within the allowed period.
Where can I get academic advising?,Visit the Academic Advising office or book an appointment through the student portal.
What do I do if I am failing a course?,"Contact your professor during office hours, seek tutoring services, and speak with an academic advisor."
How do I request a transcript?,Official transcripts can be ordered through the registrar portal on the Concordia website.
How do I find my class schedule?,Log into the student portal and check the My Schedule section.
What is the deadline to withdraw from a course without academic penalty?,Withdrawal deadlines are listed in the academic calendar on the Concordia website.
How do I access Moodle?,Go to moodle.concordia.ca and sign in with your Concordia NetName credentials.
How do I renew my student status?,Ensure you are registered in at least one course each term or contact the registrar for a leave of absence.
